table_or_area,field_or_measure,type,description,source_or_logic,notes
CDC,county_fips,column,Texas county FIPS code,CDC PLACES,Used for county-level identification
CDC,county_name,column,County name,CDC PLACES,Used in visuals and tables
CDC,measure_id,column,CDC measure identifier,CDC PLACES,Used to distinguish CDC measures
CDC,measure_name,column,CDC measure display name,CDC PLACES,Used in measure slicers
CDC,measure_category,column,CDC measure grouping,CDC PLACES,Examples include Health Outcomes; Prevention; Health Risk Behaviors; Health Status
CDC,estimate_value,column,Modeled estimate value,CDC PLACES,Generally treated as an average value rather than summed
CDC,County Count,measure,Distinct count of counties,DAX,QA and summary measure
CDC,Measure Count,measure,Distinct count of CDC measures,DAX,QA and summary measure
CDC,CDC Row Count,measure,Total CDC rows loaded,DAX,QA measure
CDC,Blank Estimate Count,measure,Count of blank estimate values,DAX,QA measure
Primary Care HPSA,HPSA Name,column,HPSA designation name,HRSA HPSA,Used in shortage detail tables
Primary Care HPSA,County Name,column,County name,HRSA HPSA,Used for county summaries
Primary Care HPSA,Designation Type,column,HPSA designation type,HRSA HPSA,Examples include population or geographic HPSA
Primary Care HPSA,HPSA Score,column,HPSA shortage score,HRSA HPSA,Higher score generally indicates greater shortage priority
Primary Care HPSA,HPSA Shortage,column,Estimated provider shortage,HRSA HPSA,Used as shortage volume measure
Primary Care HPSA,Average Primary Care HPSA Score,measure,Average HPSA score for current filter context,DAX,Used in rankings and cards
Primary Care HPSA,Total Primary Care Shortage,measure,Total primary care provider shortage,DAX,Used in shortage cards
Dental HPSA,HPSA Name,column,HPSA designation name,HRSA HPSA,Used in shortage detail tables
Dental HPSA,County Name,column,County name,HRSA HPSA,Used for county summaries
Dental HPSA,Designation Type,column,HPSA designation type,HRSA HPSA,Examples include population or geographic HPSA
Dental HPSA,HPSA Score,column,HPSA shortage score,HRSA HPSA,Higher score generally indicates greater shortage priority
Dental HPSA,HPSA Shortage,column,Estimated provider shortage,HRSA HPSA,Used as shortage volume measure
Dental HPSA,Average Dental HPSA Score,measure,Average HPSA score for current filter context,DAX,Used in rankings and cards
Dental HPSA,Total Dental Shortage,measure,Total dental provider shortage,DAX,Used in shortage cards
Mental Health HPSA,HPSA Name,column,HPSA designation name,HRSA HPSA,Used in shortage detail tables
Mental Health HPSA,County Name,column,County name,HRSA HPSA,Used for county summaries
Mental Health HPSA,Designation Type,column,HPSA designation type,HRSA HPSA,Examples include population or geographic HPSA
Mental Health HPSA,HPSA Score,column,HPSA shortage score,HRSA HPSA,Higher score generally indicates greater shortage priority
Mental Health HPSA,HPSA Shortage,column,Estimated provider shortage,HRSA HPSA,Used as shortage volume measure
Mental Health HPSA,Average Mental Health HPSA Score,measure,Average HPSA score for current filter context,DAX,Used in rankings and cards
Mental Health HPSA,Total Mental Health Shortage,measure,Total mental health provider shortage,DAX,Used in shortage cards
Mental Health HPSA,Mental Health County Count,measure,Distinct count of Texas counties with mental health HPSA records,DAX,Excludes blank values and non-county value Not Determined
MUA_P,County Name,column,County name,HRSA MUA/P,Used for county summaries
MUA_P,Designation Type,column,MUA/P designation type,HRSA MUA/P,Used in medically underserved detail tables
MUA_P,IMU Score,column,Index of Medical Underservice score,HRSA MUA/P,Lower nonzero values indicate greater medical underservice
MUA_P,MUA/P Status Description,column,Designation status,HRSA MUA/P,Used to filter designated records
MUA_P,Average IMU Score,measure,Average IMU score for current filter context,DAX,Used in MUA/P profile page
AHRF County,fips_st_cnty,column,State-county FIPS code,AHRF,County identifier
AHRF County,st_name_abbrev,column,State abbreviation,AHRF,Filtered to TX
AHRF County,cnty_name,column,County name,AHRF,Used in AHRF visuals and slicers
AHRF County,rural_urban_contnm_23,column,USDA Rural-Urban Continuum Code,AHRF,Converted into simplified rural/urban category
AHRF County,Rural Urban Category,calculated column,Simplified metro vs nonmetro/rural label,DAX,1-3 = Metro; 4-9 = Nonmetro / Rural
AHRF County,popn_est_24,column,2024 county population estimate,AHRF,Used as denominator for per 10K rates
AHRF County,phys_nf_prim_care_pc_exc_rsdt_23,column,Primary care physician count excluding residents,AHRF,Used for PCPs per 10K
AHRF County,dent_npi_24,column,Dentist NPI count,AHRF,Used for dentists per 10K
AHRF County,tot_md_do_psych_23,column,Psychiatrist physician count,AHRF,Used for psychiatrists per 10K
AHRF County,hosp_23,column,Hospital count,AHRF,Used as facility count
AHRF County,hosp_beds_23,column,Hospital bed count,AHRF,Used for beds per 10K
AHRF County,rural_hlth_clincs_24,column,Rural health clinic count,AHRF,Used in county detail tables
AHRF County,fedly_qualfd_hlth_ctr_24,column,Federally qualified health center count,AHRF,Used in county detail tables
AHRF County,comn_mentl_hlth_ctr_24,column,Community mental health center count,AHRF,Used in county detail tables
AHRF County,pers_noins_18_64_pct_22,column,Uninsured rate ages 18-64,AHRF,Used in county profile detail
AHRF County,pers_povty_pct_23,column,Poverty rate,AHRF,Used in county profile detail
AHRF County,Primary Care Physicians per 10K,measure,Primary care physicians per 10000 residents,DAX,Total PCPs divided by population multiplied by 10000
AHRF County,Dentists per 10K,measure,Dentists per 10000 residents,DAX,Total dentists divided by population multiplied by 10000
AHRF County,Psychiatrists per 10K,measure,Psychiatrists per 10000 residents,DAX,Total psychiatrists divided by population multiplied by 10000
AHRF County,Hospital Beds per 10K,measure,Hospital beds per 10000 residents,DAX,Total hospital beds divided by population multiplied by 10000
AHRF County,Texas Population Benchmark,measure,Texas population total with county slicer removed,DAX,Used on county profile page
AHRF County,Texas Benchmark Value,measure,Dynamic Texas benchmark for selected metric,DAX,Uses statewide aggregate benchmark rates with county slicer removed
AHRF County,Texas Psychiatrists per 10K Benchmark,measure,Statewide psychiatrists per 10000 residents,DAX,Uses total Texas psychiatrists divided by total Texas population multiplied by 10000
AHRF Profile Metrics,Metric,column,Helper metric labels,DAX DATATABLE,Used to build benchmark comparison visual
